
5月3日 熊の湯
5月5日 栂池
5月9日 着物決め
5月16日 DIY (6畳モルタル)
5月17日 美麻掃除 8:00
6月13日 [DIY？]
6月14日 [DIY？]
6月20日 DIY
6月21日 カスタムフェア
6月27日 [DIY？]
6月28日 [DIY？]
7月12日 シミュレーター
7月18日 西日本
7月19日 西日本
7月20日 西日本
7月25日 DIY(ベンチ)[STO？]
7月26日 野沢ピスラボ
8月8日 VRA(野沢)
8月9日 VRA(野沢)
8月11日 美麻
8月12日 美麻
8月13日 美麻
8月14日 美麻
8月15日 美麻
8月16日 美麻・STO(野沢)
8月22日 VRA(野沢)板持ち帰り
8月23日 VRA(野沢)休
8月29日 那須ハイ
8月30日 那須ハイ 予備
9月5日 VRA(丸沼)休
9月6日 VRA(丸沼)
9月19日 VRA(野沢)
9月20日 VRA(野沢)
9月21日 VRA(野沢)
9月22日 VRA(野沢)
9月23日 STO(野沢)
9月27日 ピアノ発表会
10月1日 七五三服買物
10月3日 DIY
10月4日 STO(野沢)
10月10日 VRA(西日本)
10月11日 VRA(西日本)
10月12日 VRA(西日本)
10月13日 もてぎ
10月17日 [三回忌]
10月18日 もてぎ予備日
10月23日 富士屋ホテル泊まり
10月24日 七五三
11月7日 [総会・準備？]
11月8日 [総会・準備？]
11月15日 [総会・準備？]
11月21日 [STO？]
11月22日 [STO？]
11月23日 [STO？]

